# Best_alpha = -0.998000 Best_beta = -0.998000 Best_Energy = -0.998000 index of best_ vals = 2
mean(E_l), std(E_l), Var(E_l), alpha, beta
-1.610247, 0.000000, 0.000000, -0.790000, 0.000000, 
-1.663078, 0.000000, 0.000000, -0.789000, 0.000000, 
-1.667146, 0.000000, 0.000000, -0.788000, 0.000000, 
-1.652813, 0.000000, 0.000000, -0.787000, 0.000000, 
-1.645712, 0.000000, 0.000000, -0.786000, 0.000000, 
-1.640674, 0.000000, 0.000000, -0.785000, 0.000000, 
-1.591687, 0.000000, 0.000000, -0.784000, 0.000000, 
-1.609233, 0.000000, 0.000000, -0.783000, 0.000000, 
-1.676381, 0.000000, 0.000000, -0.782000, 0.000000, 
-1.654658, 0.000000, 0.000000, -0.781000, 0.000000, 
-1.678791, 0.000000, 0.000000, -0.780000, 0.000000, 
-1.661117, 0.000000, 0.000000, -0.779000, 0.000000, 
-1.581541, 0.000000, 0.000000, -0.778000, 0.000000, 
-1.569238, 0.000000, 0.000000, -0.777000, 0.000000, 
-1.653772, 0.000000, 0.000000, -0.776000, 0.000000, 
-1.627704, 0.000000, 0.000000, -0.775000, 0.000000, 
-1.666606, 0.000000, 0.000000, -0.774000, 0.000000, 
-1.610243, 0.000000, 0.000000, -0.773000, 0.000000, 
-1.639949, 0.000000, 0.000000, -0.772000, 0.000000, 
-1.635006, 0.000000, 0.000000, -0.771000, 0.000000, 
-1.634322, 0.000000, 0.000000, -0.770000, 0.000000, 
-1.617202, 0.000000, 0.000000, -0.769000, 0.000000, 
-1.603414, 0.000000, 0.000000, -0.768000, 0.000000, 
-1.617910, 0.000000, 0.000000, -0.767000, 0.000000, 
-1.610885, 0.000000, 0.000000, -0.766000, 0.000000, 
-1.615699, 0.000000, 0.000000, -0.765000, 0.000000, 
-1.587456, 0.000000, 0.000000, -0.764000, 0.000000, 
-1.598950, 0.000000, 0.000000, -0.763000, 0.000000, 
-1.551322, 0.000000, 0.000000, -0.762000, 0.000000, 
-1.609013, 0.000000, 0.000000, -0.761000, 0.000000, 
-1.603069, 0.000000, 0.000000, -0.760000, 0.000000, 
-1.610477, 0.000000, 0.000000, -0.759000, 0.000000, 
-1.570441, 0.000000, 0.000000, -0.758000, 0.000000, 
-1.593979, 0.000000, 0.000000, -0.757000, 0.000000, 
-1.605110, 0.000000, 0.000000, -0.756000, 0.000000, 
-1.600185, 0.000000, 0.000000, -0.755000, 0.000000, 
-1.557686, 0.000000, 0.000000, -0.754000, 0.000000, 
-1.594719, 0.000000, 0.000000, -0.753000, 0.000000, 
-1.595046, 0.000000, 0.000000, -0.752000, 0.000000, 
-1.574857, 0.000000, 0.000000, -0.751000, 0.000000, 
-1.583315, 0.000000, 0.000000, -0.750000, 0.000000, 
-1.534441, 0.000000, 0.000000, -0.749000, 0.000000, 
-1.579674, 0.000000, 0.000000, -0.748000, 0.000000, 
-1.547710, 0.000000, 0.000000, -0.747000, 0.000000, 
-1.568732, 0.000000, 0.000000, -0.746000, 0.000000, 
-1.573161, 0.000000, 0.000000, -0.745000, 0.000000, 
-1.560513, 0.000000, 0.000000, -0.744000, 0.000000, 
-1.556064, 0.000000, 0.000000, -0.743000, 0.000000, 
-1.522917, 0.000000, 0.000000, -0.742000, 0.000000, 
-1.537032, 0.000000, 0.000000, -0.741000, 0.000000, 
-1.536088, 0.000000, 0.000000, -0.740000, 0.000000, 
-1.531839, 0.000000, 0.000000, -0.739000, 0.000000, 
-1.542860, 0.000000, 0.000000, -0.738000, 0.000000, 
-1.558067, 0.000000, 0.000000, -0.737000, 0.000000, 
-1.540259, 0.000000, 0.000000, -0.736000, 0.000000, 
-1.526377, 0.000000, 0.000000, -0.735000, 0.000000, 
-1.549416, 0.000000, 0.000000, -0.734000, 0.000000, 
-1.484625, 0.000000, 0.000000, -0.733000, 0.000000, 
-1.495522, 0.000000, 0.000000, -0.732000, 0.000000, 
-1.519546, 0.000000, 0.000000, -0.731000, 0.000000, 
-1.517415, 0.000000, 0.000000, -0.730000, 0.000000, 
-1.520214, 0.000000, 0.000000, -0.729000, 0.000000, 
-1.531483, 0.000000, 0.000000, -0.728000, 0.000000, 
-1.542200, 0.000000, 0.000000, -0.727000, 0.000000, 
-1.471566, 0.000000, 0.000000, -0.726000, 0.000000, 
-1.510537, 0.000000, 0.000000, -0.725000, 0.000000, 
-1.489292, 0.000000, 0.000000, -0.724000, 0.000000, 
-1.527999, 0.000000, 0.000000, -0.723000, 0.000000, 
-1.517008, 0.000000, 0.000000, -0.722000, 0.000000, 
-1.497248, 0.000000, 0.000000, -0.721000, 0.000000, 
-1.519859, 0.000000, 0.000000, -0.720000, 0.000000, 
-1.504949, 0.000000, 0.000000, -0.719000, 0.000000, 
-1.484565, 0.000000, 0.000000, -0.718000, 0.000000, 
-1.454073, 0.000000, 0.000000, -0.717000, 0.000000, 
-1.481151, 0.000000, 0.000000, -0.716000, 0.000000, 
-1.532166, 0.000000, 0.000000, -0.715000, 0.000000, 
-1.495159, 0.000000, 0.000000, -0.714000, 0.000000, 
-1.507121, 0.000000, 0.000000, -0.713000, 0.000000, 
-1.486141, 0.000000, 0.000000, -0.712000, 0.000000, 
-1.469923, 0.000000, 0.000000, -0.711000, 0.000000, 
-1.474980, 0.000000, 0.000000, -0.710000, 0.000000, 
-1.428632, 0.000000, 0.000000, -0.709000, 0.000000, 
-1.428059, 0.000000, 0.000000, -0.708000, 0.000000, 
-1.474595, 0.000000, 0.000000, -0.707000, 0.000000, 
-1.460110, 0.000000, 0.000000, -0.706000, 0.000000, 
-1.469083, 0.000000, 0.000000, -0.705000, 0.000000, 
-1.447403, 0.000000, 0.000000, -0.704000, 0.000000, 
-1.451280, 0.000000, 0.000000, -0.703000, 0.000000, 
-1.449894, 0.000000, 0.000000, -0.702000, 0.000000, 
-1.460874, 0.000000, 0.000000, -0.701000, 0.000000, 
-1.437505, 0.000000, 0.000000, -0.700000, 0.000000, 
-1.407913, 0.000000, 0.000000, -0.699000, 0.000000, 
-1.453070, 0.000000, 0.000000, -0.698000, 0.000000, 
-1.459687, 0.000000, 0.000000, -0.697000, 0.000000, 
-1.440569, 0.000000, 0.000000, -0.696000, 0.000000, 
-1.446742, 0.000000, 0.000000, -0.695000, 0.000000, 
-1.417279, 0.000000, 0.000000, -0.694000, 0.000000, 
-1.457523, 0.000000, 0.000000, -0.693000, 0.000000, 
-1.440293, 0.000000, 0.000000, -0.692000, 0.000000, 
-1.455137, 0.000000, 0.000000, -0.691000, 0.000000, 
-1.413214, 0.000000, 0.000000, -0.690000, 0.000000, 
-1.432531, 0.000000, 0.000000, -0.689000, 0.000000, 
-1.443305, 0.000000, 0.000000, -0.688000, 0.000000, 
-1.416168, 0.000000, 0.000000, -0.687000, 0.000000, 
-1.426638, 0.000000, 0.000000, -0.686000, 0.000000, 
-1.382749, 0.000000, 0.000000, -0.685000, 0.000000, 
-1.430541, 0.000000, 0.000000, -0.684000, 0.000000, 
-1.382614, 0.000000, 0.000000, -0.683000, 0.000000, 
-1.445448, 0.000000, 0.000000, -0.682000, 0.000000, 
-1.424783, 0.000000, 0.000000, -0.681000, 0.000000, 
-1.396880, 0.000000, 0.000000, -0.680000, 0.000000, 
-1.424116, 0.000000, 0.000000, -0.679000, 0.000000, 
-1.404263, 0.000000, 0.000000, -0.678000, 0.000000, 
-1.397743, 0.000000, 0.000000, -0.677000, 0.000000, 
-1.403081, 0.000000, 0.000000, -0.676000, 0.000000, 
-1.403422, 0.000000, 0.000000, -0.675000, 0.000000, 
-1.404905, 0.000000, 0.000000, -0.674000, 0.000000, 
-1.375878, 0.000000, 0.000000, -0.673000, 0.000000, 
-1.359237, 0.000000, 0.000000, -0.672000, 0.000000, 
-1.392184, 0.000000, 0.000000, -0.671000, 0.000000, 
-1.388562, 0.000000, 0.000000, -0.670000, 0.000000, 
-1.395429, 0.000000, 0.000000, -0.669000, 0.000000, 
-1.378255, 0.000000, 0.000000, -0.668000, 0.000000, 
-1.352547, 0.000000, 0.000000, -0.667000, 0.000000, 
-1.380924, 0.000000, 0.000000, -0.666000, 0.000000, 
-1.342313, 0.000000, 0.000000, -0.665000, 0.000000, 
-1.374811, 0.000000, 0.000000, -0.664000, 0.000000, 
-1.376825, 0.000000, 0.000000, -0.663000, 0.000000, 
-1.370022, 0.000000, 0.000000, -0.662000, 0.000000, 
-1.372608, 0.000000, 0.000000, -0.661000, 0.000000, 
-1.367317, 0.000000, 0.000000, -0.660000, 0.000000, 
-1.363788, 0.000000, 0.000000, -0.659000, 0.000000, 
-1.352449, 0.000000, 0.000000, -0.658000, 0.000000, 
-1.373992, 0.000000, 0.000000, -0.657000, 0.000000, 
-1.362476, 0.000000, 0.000000, -0.656000, 0.000000, 
-1.348820, 0.000000, 0.000000, -0.655000, 0.000000, 
-1.339414, 0.000000, 0.000000, -0.654000, 0.000000, 
-1.351537, 0.000000, 0.000000, -0.653000, 0.000000, 
-1.334867, 0.000000, 0.000000, -0.652000, 0.000000, 
-1.338426, 0.000000, 0.000000, -0.651000, 0.000000, 
-1.354134, 0.000000, 0.000000, -0.650000, 0.000000, 
-1.329777, 0.000000, 0.000000, -0.649000, 0.000000, 
-1.339789, 0.000000, 0.000000, -0.648000, 0.000000, 
-1.332490, 0.000000, 0.000000, -0.647000, 0.000000, 
-1.327986, 0.000000, 0.000000, -0.646000, 0.000000, 
-1.329606, 0.000000, 0.000000, -0.645000, 0.000000, 
-1.300831, 0.000000, 0.000000, -0.644000, 0.000000, 
-1.316738, 0.000000, 0.000000, -0.643000, 0.000000, 
-1.311049, 0.000000, 0.000000, -0.642000, 0.000000, 
-1.323577, 0.000000, 0.000000, -0.641000, 0.000000, 
-1.329233, 0.000000, 0.000000, -0.640000, 0.000000, 
-1.303033, 0.000000, 0.000000, -0.639000, 0.000000, 
-1.304243, 0.000000, 0.000000, -0.638000, 0.000000, 
-1.285798, 0.000000, 0.000000, -0.637000, 0.000000, 
-1.305634, 0.000000, 0.000000, -0.636000, 0.000000, 
-1.297670, 0.000000, 0.000000, -0.635000, 0.000000, 
-1.318920, 0.000000, 0.000000, -0.634000, 0.000000, 
